time,year,month,reserve,dry_kg,wet_kg,total_kg
1/31/20,2020,1,Dunas de Liencres y Estuario del Pas,-626.5376551,2.28E-12,-626.5376551
1/31/20,2020,1,Balsa del Pulguer,-41.61279425,8.41E-13,-41.61279425
1/31/20,2020,1,Montes del Cerrato,3735.716027,-4.38E-11,3735.716027
1/31/20,2020,1,Basses de l'Albera,266.0710482,-1.07E-12,266.0710482
1/31/20,2020,1,Les Gavarres,-11410.7797,5.01E-11,-11410.7797
1/31/20,2020,1,Prat de Cabanes i Torreblanca,242.855766,-2.93E-12,242.855766
1/31/20,2020,1,Urkiola,40611.99876,-7.29E-11,40611.99876
1/31/20,2020,1,Alto Navia,-8.793666564,1.59E-13,-8.793666564
1/31/20,2020,1,Badina Escudera,11.19490386,-2.26E-13,11.19490386
1/31/20,2020,1,LA GUARGUERA,423.2115769,-2.95E-12,423.2115769
1/31/20,2020,1,TURBERAS DE ACUMUER,0,0,0
1/31/20,2020,1,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
1/31/20,2020,1,Plans de Sió,-4521.153973,1.88E-11,-4521.153973
1/31/20,2020,1,Serra d'en Galceràn,-2082.655419,2.40E-11,-2082.655419
1/31/20,2020,1,Ullals del riu Verd,0,0,0
1/31/20,2020,1,Río Guadalmedina,0,0,0
2/29/20,2020,2,Sierra Plana de la Borbolla,446.4110413,3.923726665,450.3347679
2/29/20,2020,2,Rias occidentales y Duna de Oyambre,4.89948787,-2.12E-13,4.89948787
2/29/20,2020,2,Dunas de Liencres y Estuario del Pas,172.042212,-4.17E-12,172.042212
2/29/20,2020,2,Balsa del Pulguer,45.10228227,-9.56E-13,45.10228227
2/29/20,2020,2,Montes del Cerrato,-477.4114801,-12.24108373,-489.6525638
2/29/20,2020,2,Basses de l'Albera,-210.6800532,8.98E-13,-210.6800532
2/29/20,2020,2,Les Gavarres,7966.36572,-6.17E-11,7966.36572
2/29/20,2020,2,Prat de Cabanes i Torreblanca,999.4462899,-1.12E-11,999.4462899
2/29/20,2020,2,Urkiola,15635.97211,-5.01E-11,15635.97211
2/29/20,2020,2,Alto Navia,2.66200254,-1.17E-13,2.66200254
2/29/20,2020,2,Badina Escudera,-9.414525967,2.00E-13,-9.414525967
2/29/20,2020,2,LA GUARGUERA,73.33804537,-1.80E-12,73.33804537
2/29/20,2020,2,TURBERAS DE ACUMUER,0,0,0
2/29/20,2020,2,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
2/29/20,2020,2,Plans de Sió,1566.244344,-3.78E-11,1566.244344
2/29/20,2020,2,Serra d'en Galceràn,3895.217009,-3.83E-11,3895.217009
2/29/20,2020,2,Ullals del riu Verd,0,0,0
2/29/20,2020,2,Río Guadalmedina,0,0,0
3/31/20,2020,3,Sierra Plana de la Borbolla,10204.68104,3866.61877,14071.29981
3/31/20,2020,3,Rias occidentales y Duna de Oyambre,407.1896752,455.2614887,862.4511639
3/31/20,2020,3,Dunas de Liencres y Estuario del Pas,201.0343603,250.2275759,451.2619362
3/31/20,2020,3,Balsa del Pulguer,141.6560314,-9.00E-13,141.6560314
3/31/20,2020,3,Montes del Cerrato,2442.263282,4190.301035,6632.564316
3/31/20,2020,3,Basses de l'Albera,332.7893876,14.77825591,347.5676435
3/31/20,2020,3,Les Gavarres,26605.89975,326.6063382,26932.50608
3/31/20,2020,3,Prat de Cabanes i Torreblanca,59.84450114,0.19260094,60.03710208
3/31/20,2020,3,Urkiola,3079.549161,-2.72E-11,3079.549161
3/31/20,2020,3,Alto Navia,30.58768848,333.5197735,364.107462
3/31/20,2020,3,Badina Escudera,86.00922709,-5.46E-13,86.00922709
3/31/20,2020,3,LA GUARGUERA,1225.149789,-3.17E-12,1225.149789
3/31/20,2020,3,TURBERAS DE ACUMUER,0,0,0
3/31/20,2020,3,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
3/31/20,2020,3,Plans de Sió,4894.112314,16.44106,4910.553374
3/31/20,2020,3,Serra d'en Galceràn,1405.939011,0.30741022,1406.246421
3/31/20,2020,3,Ullals del riu Verd,0,0,0
